menu_id	label	link	icon	parent	sort	time	status
148	mark_attendance	admin/mark_attendance	fa fa-file-text	105	2	2023-08-01 04:46:59	1
149	allowed_ip	admin/settings/allowed_ip	fa fa-server	25	27	2023-08-01 04:46:59	2
150	stock	#	icon-layers	0	8	2023-08-01 04:46:59	1
151	supplier	admin/supplier	icon-briefcase	150	1	2023-08-01 04:46:59	1
152	purchase	admin/purchase	icon-handbag	150	2	2023-08-01 04:46:59	1
153	return_stock	admin/return_stock	icon-share-alt	150	3	2023-08-01 04:46:59	1
154	purchase_payment	admin/purchase/all_payments	icon-credit-card	150	4	2023-08-01 04:46:59	1
155	purchase_settings	admin/settings/purchase	fa-fw icon-handbag	25	12	2023-08-01 04:46:59	2
156	credit_note	admin/credit_note	fa fa-circle-o	12	1	2023-08-01 04:46:59	1
157	projects_settings	admin/settings/projects	fa fa-fw fa-folder-open-o	25	9	2023-08-01 04:46:59	2
158	tags	admin/settings/tags	fa fa-fw fa-tags	25	11	2023-08-01 04:46:59	2
159	lead_form	admin/leads/all_lead_form	fa fa-fw fa-rocket	25	13	2023-08-01 04:46:59	2
160	sms_settings	admin/settings/sms_settings	fa fa-fw fa-envelope	25	30	2023-08-01 04:46:59	2
161	pos_sales	admin/invoice/pos_sales	fa fa-circle-o	12	0	2023-08-01 04:46:59	1
186	warehouse	admin/warehouse/manage	fa fa-building-o	150	3	2023-08-01 04:46:59	1
187	transferItem	admin/items/transferItem	fa fa-circle-o	150	4	2023-08-01 04:46:59	1
203	award_setting	admin/settings/award	fa fa-star	25	30	2023-08-01 04:46:59	2
204	award_rule_setting	admin/settings/award_rule_settingh	fa fa-star	25	31	2023-08-01 04:46:59	2
205	award_program_settings	admin/settings/award_program_settings	fa fa-cog	25	32	2023-08-01 04:46:59	2
206	client_award_points	admin/invoice/client_awards	fa fa-circle-o	12	10	2023-08-01 04:46:59	1
207	best_selling_product	admin/best_selling	fa fa-circle-o	12	11	2023-08-01 04:46:59	1
209	warning	admin/warning	fa fa-warning	0	3	2023-08-01 04:46:59	1
210	promotion	admin/promotion	fa fa-arrow-circle-up	0	4	2023-08-01 04:46:59	1
211	termination	admin/termination	fa fa-eraser	0	5	2023-08-01 04:46:59	1
212	resignation	admin/resignation	fa fa-scissors	0	6	2023-08-01 04:46:59	1
213	accounting	#	fa fa-money	0	4	2022-11-20 17:56:37	1
214	journal_entry	admin/accounting/journal_entry	fa fa-circle-o	213	1	2022-11-20 17:56:37	1
215	chart_of_accounts	admin/accounting/chart_of_accounts	fa fa-circle-o	213	2	2022-11-20 17:56:37	1
216	payment_voucher	admin/accounting/payment_voucher	fa fa-circle-o	213	3	2022-11-20 17:56:37	1
217	receipt_voucher	admin/accounting/receipt_voucher	fa fa-circle-o	213	4	2022-11-20 17:56:37	1
218	reports	admin/accounting/reports	fa fa-circle-o	213	5	2022-11-20 17:56:37	1
219	settings	admin/accounting/settings	fa fa-circle-o	213	6	2022-11-20 17:56:37	1
226	zoom	admin/zoom	fa fa-file-video-o	0	3	2024-10-02 08:56:50	1
227	spreadsheet	admin/spreadsheet	fa fa-file-excel-o	0	2	2024-10-02 09:11:07	1
228	woocommerce	#	fa fa-file-excel-o	0	1	2022-06-06 08:36:23	1
229	orders	admin/woocommerce/orders	fa fa-circle-o	228	1	2024-10-02 09:20:19	1
230	products	admin/woocommerce/products	fa fa-circle-o	228	1	2024-10-02 09:20:19	1
231	customers	admin/woocommerce/customers	fa fa-circle-o	228	1	2024-10-02 09:20:19	1
232	stores	admin/woocommerce/stores	fa fa-circle-o	228	1	2024-10-02 09:20:19	1
233	contracts	admin/contracts	fa fa-file	0	3	2025-05-11 13:24:45	1
234	complaints	admin/complaints	fa fa-inbox	0	3	2025-05-11 13:24:52	1
